Index	Reading No	Time	Type	Duration	Units	Sigma Value	Sequence	Flags	SAMPLE	LOCATION	INSPECTOR	MISC	NOTE	Res	EScale	Shape Time	Mo	Mo Error	Zr	Zr Error	Sr	Sr Error	U	U Error	Rb	Rb Error	Th	Th Error	Pb	Pb Error	Au	Au Error	Se	Se Error	As	As Error	Hg	Hg Error	Zn	Zn Error	W	W Error	Cu	Cu Error	Ni	Ni Error	Co	Co Error	Fe	Fe Error	Mn	Mn Error	Cr	Cr Error	V	V Error	Ti	Ti Error	Sc	Sc Error	Ca	Ca Error	K	K Error	S	S Error	Nd	Nd Error	Pr	Pr Error	Ce	Ce Error	La	La Error	Ba	Ba Error	Sb	Sb Error	Sn	Sn Error	Cd	Cd Error	Pd	Pd Error	Ag	Ag Error	Bal	Bal Error	Nb	Nb Error	Y	Y Error	Bi	Bi Error	Re	Re Error	Ta	Ta Error	Hf	Hf Error	Al	Al Error	P	P Error	Si	Si Error	Cl	Cl Error	Mg	Mg Error	MgO	MgO Error	Al2O3	Al2O3 Error	SiO2	SiO2 Error	P2O5	P2O5 Error	K2O	K2O Error	CaO	CaO Error	TiO2	TiO2 Error	MnO	MnO Error	Fe2O3	Fe2O3 Error	Cs	Cs Error	Te	Te Error
27	27	10/10/2019 16:08	TestAll Geo	180.37	ppm	2	Final	-3mm 									15.97	1.92	378.8	4.05	87.1	1.85	19.56	3.88	80	1.64	42.87	3.02	52.85	4.15	9.37	3.47	2.97	1.84	101.26	4.72	9.94	5.26	51.76	5.91	342.86	26.57	309.85	13.82	85.56	16.36	<LOD	64.74	40547.31	347.65	470.44	35.68	36.89	7.14	97.07	16.09	4009.7	57.95	22.76	14.1	6073.59	95.01	30259.69	762.4	<LOD	173.48	412.56	75.77	266.58	52.98	186.13	43.11	193.05	41.93	376.41	32.59	<LOD	14.83	<LOD	12.75	<LOD	7.34	<LOD	3.28	<LOD	21.58	494294.09	1515.51	12.19	1.29	2.41	1	14.39	8.35	<LOD	1.5	<LOD	1.5	<LOD	1.5	87879.26	2019.86	1043.27	241.6	323518.5	2290.93	887.23	45.81	5006.27	3193.15	8310.4	0	166091.8	0	692329.63	0	2389.08	0	36614.22	0	8503.03	0	6696.2	0	606.86	0	57982.66	0				
28	28	10/10/2019 16:11	TestAll Geo	180.22	ppm	2	Final	-3mm 									15.37	1.9	380.71	4.05	86.08	1.83	17.6	3.83	79.54	1.62	45.95	3.07	53.03	4.15	7.38	3.39	3.46	1.84	104.49	4.73	8.61	5.23	51.89	5.89	360.55	26.42	292.57	13.5	84.86	16.23	<LOD	64.24	40706.52	348.69	455.01	35.35	32.04	7.11	84.05	16	3956.34	58.02	23.16	14.2	6083	95.72	30398.4	781.24	2395.58	88.44	508.53	72.94	302.18	50.68	218.28	41.4	204.7	39.95	352.77	30.89	<LOD	12.14	<LOD	12.06	<LOD	9.48	<LOD	3.1	<LOD	20.46	494874.22	1504.16	12.8	1.29	2.46	1	16.28	8.33	<LOD	1.5	<LOD	1.5	<LOD	1.5	87417.98	2076.02	1038.75	249.48	324880.72	2532.02	875.81	47.26	<LOD	4892.86	7209.75	0	165219.97	0	695244.75	0	2378.73	0	36782.07	0	8516.2	0	6607.08	0	586.96	0	58210.33	0				
29	29	10/10/2019 16:15	TestAll Geo	181.6	ppm	2	Final	-3mm 									14.45	1.92	379.69	4.09	85.06	1.8	18.35	3.89	80.06	1.61	42.24	3.04	56.9	4.18	9.34	3.48	<LOD	2.6	112.58	5.35	8.17	5.29	42.61	5.75	348.52	26.22	283.23	13.22	86.24	16.31	<LOD	65.07	40718.66	348.79	448.9	35.66	30.18	6.93	98.09	15.8	3952.21	56.71	28.08	13.84	5991.81	92.82	28284.93	712.68	2171.1	80.79	468.32	70.42	261.85	48.85	201.47	40.01	217.06	38.82	331.39	29.89	<LOD	17.35	<LOD	11.61	<LOD	6.78	<LOD	2.85	<LOD	19.76	525154.13	1422.8	11.81	1.27	2.51	1	16.05	8.19	<LOD	1.5	<LOD	1.5	<LOD	1.5	81678.95	1840.72	1044.51	231.06	308403.56	2419.18	760.41	43.18	<LOD	3772.78	<LOD	0	154373.22	0	659983.63	0	2391.94	0	34224.77	0	8388.53	0	6600.19	0	579.09	0	58227.69	0				
30	30	10/10/2019 16:19	TestAll Geo	181.09	ppm	2	Final	-3mm 									16.58	1.93	379.13	4.06	85.66	1.84	19.83	3.9	80.74	1.65	43.19	3.03	51.89	4.15	8.13	3.43	<LOD	2.54	107.25	4.78	<LOD	7.93	43.14	5.75	346.26	26.53	304.6	13.8	78.92	16.27	<LOD	64.67	40540.37	352.67	482.8	35.97	30.43	7.05	82.96	16.01	3969.89	58.04	34.12	14.26	6041.79	95.04	30766.34	786	2397.9	86.44	393.36	72.77	239.81	50.8	191.01	41.57	176.09	40.28	352.67	31.26	<LOD	12.28	<LOD	12.12	<LOD	9.54	<LOD	3.24	<LOD	20.74	495556.59	1517.59	12.32	1.3	2.5	1	16.79	8.37	<LOD	1.5	<LOD	1.5	<LOD	1.5	87380.26	2027.58	901.47	241.76	324213.25	2559.69	854.08	45.81	<LOD	4767.4	7502.73	0	165148.69	0	693816.38	0	2064.36	0	37227.27	0	8458.51	0	6629.72	0	622.81	0	57972.73	0				
31	31	10/10/2019 16:22	TestAll Geo	180.15	ppm	2	Final	-3mm 									14.87	1.89	375.47	4	102	2.18	16.78	3.8	80.19	1.63	40.43	2.94	51.98	4.11	7.1	3.37	4.1	1.84	99.15	4.62	8.79	5.21	47.67	5.77	348.06	26.22	289.8	13.46	86.01	16.2	<LOD	63.91	40437.19	351.28	465.9	35.32	30.29	7.05	94.63	15.97	4013.34	57.71	<LOD	21.22	6141.94	95.49	30195.76	784.93	2339.75	88.58	521.16	75.79	296.8	52.55	203.34	42.77	219.59	41.55	368.88	32.14	<LOD	13.86	<LOD	12.63	<LOD	10.5	<LOD	3.28	<LOD	21.27	500753.53	1481.18	12.5	1.29	2.48	1	16.4	8.19	<LOD	1.5	<LOD	1.5	<LOD	1.5	87324.55	2125.76	1128.96	251.85	323997.16	2629.57	871.2	47.77	<LOD	5433.17	<LOD	0	165043.41	0	693353.94	0	2585.31	0	36536.87	0	8598.72	0	6702.28	0	601.01	0	57825.18	0				
32	32	10/10/2019 16:26	TestAll Geo	181.09	ppm	2	Final	-3mm 									14.87	1.9	376.79	4.02	101.86	2.18	20.3	3.86	79.2	1.62	43.44	3.01	53.92	4.16	7.29	3.39	2.87	1.82	101.68	4.71	8.54	5.3	45.18	5.76	378.37	26.7	289.2	13.47	79.6	16.18	<LOD	64.26	40479.27	350.53	466.78	35.33	29.7	7.02	93.45	15.98	3915.64	57.53	25.78	14.03	5929.6	94.24	29861.45	778.13	2507.48	90.54	442.67	77.39	256.49	53.85	224.64	44.33	199.92	42.71	363.84	33.1	<LOD	12.99	<LOD	12.97	<LOD	6.52	<LOD	3.44	<LOD	21.94	500001.97	1495.12	12.43	1.28	2.39	1	14.73	8.27	<LOD	1.5	<LOD	1.5	<LOD	1.5	86973.38	2129.44	772.6	248.26	325921.81	2633.89	878.77	47.52	<LOD	5668.52	<LOD	0	164379.69	0	697472.69	0	1769.24	0	36132.36	0	8301.45	0	6539.12	0	602.15	0	57885.35	0				
33	33	10/10/2019 16:29	TestAll Geo	180.56	ppm	2	Final	-3mm 									14.3	1.89	379.4	4.03	87.64	1.84	19.29	3.86	80.39	1.63	41.97	2.99	55.38	4.19	6.13	3.34	3.37	1.82	103.48	4.75	<LOD	7.82	44.14	5.72	378.68	26.49	299.79	13.6	80.17	16.2	<LOD	64.47	40550.14	348.71	468.18	35.45	31.19	7.16	99.48	16.32	3982.81	58.64	34.84	14.38	5974.47	95.82	30310.23	793.84	2320.93	88	433.44	72.21	269.36	50.38	185.27	40.98	217.01	39.99	369.55	30.96	<LOD	17.45	<LOD	11.83	<LOD	8.08	<LOD	3.05	<LOD	20.44	499527.69	1478.47	12.36	1.28	2.41	1	16.92	8.22	<LOD	1.5	<LOD	1.5	<LOD	1.5	86356.35	2038.84	948.74	251.17	326246.5	2584.39	877.41	47.68	<LOD	4511.68	<LOD	0	163213.5	0	698167.56	0	2172.62	0	36675.38	0	8364.26	0	6651.3	0	603.96	0	57986.7	0				
34	34	10/10/2019 16:33	TestAll Geo	181.32	ppm	2	Final	-3mm 									13.16	1.87	375.9	4	85.57	1.82	19.21	3.85	81.34	1.63	44.58	3.02	53.86	4.15	7.74	3.39	3.88	1.84	103.68	4.71	<LOD	7.76	42.11	5.63	350.99	26.13	290.82	13.41	77.56	16.05	<LOD	64.01	40637.66	345.28	443.55	34.91	27.94	7.05	94.89	16.21	3979.66	58.28	25.63	14.17	6070.63	95.31	30722.36	792.02	2444.82	89.66	439.18	72.64	293.47	50.82	174.83	41.09	193.67	40.07	355.79	31.04	<LOD	12.22	<LOD	11.99	<LOD	8.16	<LOD	3.12	<LOD	20.59	497872.69	1477.58	12.2	1.28	2.37	1	17.23	8.29	<LOD	1.5	<LOD	1.5	<LOD	1.5	87078.27	2027.32	1125.98	251.15	326498.88	2614.62	873.48	47.45	<LOD	4318.93	<LOD	0	164577.92	0	698707.63	0	2578.5	0	37174.05	0	8498.88	0	6646.03	0	572.18	0	58111.85	0				
35	35	10/10/2019 16:36	TestAll Geo	180.79	ppm	2	Final	-3mm 									14.56	1.9	376.8	4.04	86.06	1.84	19.78	3.89	80.96	1.64	43.42	3.03	56.54	4.23	7.48	3.39	<LOD	2.6	103.22	4.79	<LOD	7.98	44.44	5.77	360.79	26.57	287.17	13.48	79.36	16.25	<LOD	64.59	40476.88	350.65	462.85	35.51	26.7	6.9	84.94	15.79	3918.58	57.15	<LOD	20.72	5976.2	93.74	29642.53	768.94	2417.36	89.61	445.78	73.54	283.95	51.34	193.48	41.77	166.69	40.38	359.27	31.43	<LOD	12.32	<LOD	12.16	<LOD	7.14	<LOD	2.95	<LOD	20.83	501361.44	1483.64	12.48	1.29	2.36	1	17.76	8.27	<LOD	1.5	<LOD	1.5	<LOD	1.5	85760.95	2016.25	1079.49	252.23	325697.13	2539.92	848.49	47.42	<LOD	4296.69	<LOD	0	162088.2	0	696991.88	0	2472.04	0	35867.46	0	8366.68	0	6544.02	0	597.08	0	57881.93	0				
36	36	10/10/2019 16:40	TestAll Geo	180.22	ppm	2	Final	-3mm 									14.95	1.89	377.47	4.02	86.37	1.83	20.94	3.88	79.88	1.63	44.12	3.02	48.64	3.86	5.72	3.33	3.43	1.81	104.61	4.73	12.55	5.26	45.25	5.72	361.7	26.27	288.05	13.41	84.76	16.2	<LOD	64.21	40741.71	351.36	470.78	35.45	34.22	7.19	91.62	16.22	3962.88	58.47	40.54	14.42	5987.28	95.44	30248.72	790.23	<LOD	177.12	396.87	73.19	259.29	51.21	165.01	41.51	172.21	40.48	335.14	31.33	<LOD	13.41	<LOD	12.32	<LOD	6.19	<LOD	3.26	<LOD	20.88	500306.47	1475.85	12.84	1.29	2.44	1	17.9	8.28	<LOD	1.5	<LOD	1.5	<LOD	1.5	85976.89	1957.13	1109.07	243.83	325678.94	2560.72	841.9	45.73	<LOD	4157.34	<LOD	0	162496.33	0	696952.94	0	2539.76	0	36600.96	0	8382.2	0	6618.02	0	607.3	0	58260.65	0				
37	37	10/10/2019 16:43	TestAll Geo	181.05	ppm	2	Final	-3mm 									15.95	1.91	376.23	4.04	87.09	1.85	19.94	3.89	80.49	1.64	45.68	3.07	54.29	4.2	<LOD	4.95	3.6	1.83	103.97	4.75	7.98	5.28	45.69	5.79	362.41	26.2	291.05	13.54	74.43	16.25	<LOD	103.41	40617.7	353.92	472.28	35.7	26.41	6.9	105.58	15.82	3904.33	56.59	37.18	14.02	5922.02	93.13	30090.84	772.2	2379.71	88.29	407.52	74.25	289.8	52.1	173.32	42.13	199.11	41.16	341.71	31.75	<LOD	12.45	<LOD	12.32	<LOD	7.7	<LOD	3.15	<LOD	21.17	498879.59	1488.59	11.97	1.29	2.59	1	21.21	8.31	<LOD	1.5	<LOD	1.5	<LOD	1.5	86504.89	2031.05	1064.47	250.61	326910.47	2566.73	823.29	46.73	<LOD	4531.2	<LOD	0	163494.23	0	699588.44	0	2437.63	0	36409.91	0	8290.82	0	6520.23	0	609.25	0	58083.31	0				
38	38	10/10/2019 16:47	TestAll Geo	180.41	ppm	2	Final	-3mm 									14.15	1.89	379.51	4.03	103.98	2.2	20.8	3.88	80.59	1.63	42.83	3	54.47	4.16	8.3	3.41	<LOD	2.13	105.02	4.75	<LOD	7.86	45.83	5.77	350.67	26.3	290.6	13.46	77.54	16.14	<LOD	64.24	40463.84	349.3	491.84	35.86	36.69	7.22	101.18	16.29	3958.36	58.46	27.81	14.3	5992.49	95.86	30047.36	795.22	2329.6	85.21	463.39	78.3	288.98	54.6	177.66	44.2	202.51	43.14	351.67	33.32	<LOD	13.12	<LOD	12.94	<LOD	8.3	<LOD	3.55	<LOD	22.23	498660.09	1483.48	12.6	1.29	2.4	1	17.31	8.27	<LOD	1.5	<LOD	1.5	<LOD	1.5	87510.53	1985.85	1092.73	242.76	326529.66	2620.21	885.5	46.17	<LOD	4376.17	<LOD	0	165394.91	0	698773.5	0	2502.35	0	36357.3	0	8389.49	0	6610.45	0	634.47	0	57863.29	0				
39	39	10/10/2019 16:50	TestAll Geo	180.15	ppm	2	Final	-3mm 									14.23	1.87	376.42	3.99	85	1.8	20.24	3.85	80.59	1.62	43.09	2.98	55.67	4.16	7.73	3.38	3.41	1.81	104.35	4.7	12.72	5.21	45.47	5.68	349.64	26.14	286.67	13.29	79.26	16.06	<LOD	101.88	40487.15	349.92	467.02	35.13	37.03	7.27	92.98	16.41	3979.15	59.08	21.69	14.34	6088.13	96.74	30462.39	803.28	<LOD	176.82	437.47	72.06	304.19	50.49	205.77	41.1	204.21	39.8	357.1	30.8	<LOD	14.92	<LOD	11.98	<LOD	7.15	<LOD	3.18	<LOD	20.36	499094.78	1471.3	13.16	1.28	2.29	1	14.06	8.23	<LOD	1.5	<LOD	1.5	<LOD	1.5	87369.17	2046.69	1101.46	251.83	325737	2667.56	862.65	47.59	<LOD	4409.38	<LOD	0	165127.73	0	697077.19	0	2522.35	0	36859.49	0	8523.38	0	6645.19	0	602.45	0	57896.63	0				
40	40	10/10/2019 16:54	TestAll Geo	180.12	ppm	2	Final	-3mm 									15.16	1.88	376.49	3.99	86.48	1.83	17.9	3.82	80.24	1.63	44.4	3.01	51.17	4.07	8.54	3.4	2.78	1.8	105.19	4.68	14.5	5.23	45.14	5.67	362.01	26.51	285.36	13.33	80.02	16.06	<LOD	63.86	40550.93	345.19	457.09	35.13	35.3	7.29	98.36	16.41	3970.4	58.94	<LOD	21.4	6170.94	97.53	30134.34	798.14	2404.91	89.14	509.54	72.56	303.52	50.42	219.94	41.19	204.56	39.72	375.5	30.86	<LOD	17.05	<LOD	11.95	<LOD	10.34	<LOD	3.04	<LOD	20.29	500601.13	1474.94	11.66	1.27	2.31	1	16.74	8.25	<LOD	1.5	<LOD	1.5	<LOD	1.5	86822.98	2039.03	1102.51	250.83	324286.09	2578.39	878.99	47.57	<LOD	4490.04	<LOD	0	164095.44	0	693972.25	0	2524.76	0	36462.55	0	8639.31	0	6630.57	0	589.64	0	57987.83	0				
41	41	10/10/2019 16:57	TestAll Geo	181.28	ppm	2	Final	-3mm 									13.19	1.85	376.16	3.96	85.76	1.8	19.64	3.8	78.87	1.6	44.61	2.99	51.49	4.06	8.07	3.39	3.66	1.82	105.99	4.65	10.8	5.25	43.98	5.65	338.43	25.94	289.84	13.28	92.43	16.13	<LOD	63.4	40629.6	346.44	481.61	35.3	25.7	7.09	91.6	16.33	3995.76	58.91	30.03	14.35	6018.56	96.06	30486.2	783.31	2364.67	85.07	466.81	75.15	262.15	52.19	194.6	42.6	217.62	41.48	357.56	32.01	<LOD	12.64	<LOD	12.4	<LOD	6.29	<LOD	3.32	<LOD	21.26	499475.28	1461.01	12.78	1.27	2.48	1	18.92	8.19	<LOD	1.5	<LOD	1.5	<LOD	1.5	86342.13	1948.11	1088.62	242	325217.94	2417.54	893.91	45.98	<LOD	4186.09	<LOD	0	163186.61	0	695966.44	0	2492.94	0	36888.3	0	8425.99	0	6672.92	0	621.28	0	58100.33	0				
42	42	10/10/2019 17:01	TestAll Geo	180.91	ppm	2	Final	-3mm 									15.11	1.89	378.28	4.01	85.65	1.82	20.04	3.85	79.1	1.62	46.02	3.05	50.66	4.08	<LOD	4.89	3.72	1.81	104.99	4.71	14.06	5.25	43.23	5.65	365.19	25.97	281.84	13.27	77.37	16.07	<LOD	64.01	40440.59	346.45	442.05	34.84	33.37	6.98	89.38	15.83	4035.16	57.31	23.8	13.91	6072.17	93.56	29783.27	767.17	2426.67	88.61	400.81	72.7	264.84	50.88	181.63	41.39	177.71	40.2	343.97	31.15	<LOD	12.28	<LOD	12.09	<LOD	9.25	<LOD	3.15	<LOD	20.7	499463.69	1474.5	10.75	1.27	2.59	1	13.39	8.34	<LOD	1.5	<LOD	1.5	<LOD	1.5	86673.3	1996.02	841.04	247.75	326640.5	2527.06	822.99	46.59	<LOD	4117.6	<LOD	0	163812.53	0	699010.69	0	1925.98	0	36037.76	0	8501.04	0	6738.72	0	570.24	0	57830.04	0				
43	43	10/10/2019 17:04	TestAll Geo	181.33	ppm	2	Final	-3mm 									15.54	1.92	377.6	4.06	104.44	2.23	18.39	3.85	78.31	1.63	43.46	3.03	53.85	4.19	9.12	3.47	3.26	1.85	104.08	4.75	<LOD	7.84	42.39	5.72	342.27	26.47	294.74	13.65	82.93	16.38	<LOD	65.08	40707.75	352.65	483.83	36	26.98	6.81	100.52	15.55	4004.9	55.93	22.46	13.65	6055.18	92.06	30256.76	767.11	2392.72	88.76	436.65	73.07	285.33	51.08	205.56	41.68	186.36	40.26	370.61	31.32	<LOD	12.3	<LOD	12.16	<LOD	8.87	<LOD	3.21	<LOD	20.68	500332.66	1490.71	12.15	1.3	2.58	1	15.31	8.34	<LOD	1.5	<LOD	1.5	<LOD	1.5	85762.9	2025.71	1167.86	251.09	325884.56	2597.29	902.6	47.67	<LOD	4558.67	<LOD	0	162091.88	0	697393	0	2674.4	0	36610.68	0	8477.26	0	6688.19	0	624.14	0	58212.08	0				
44	44	10/10/2019 17:08	TestAll Geo	180.64	ppm	2	Final	-3mm 									15.16	1.9	379.31	4.05	87.38	1.85	16.46	3.83	79.97	1.63	44.56	3.04	50.35	4.11	8.47	3.43	3.88	1.85	101.84	4.68	12.28	5.24	48.85	5.81	339.46	26.41	296.09	13.6	89.5	16.36	<LOD	64.55	40664.17	352.32	480.29	35.73	29.73	6.95	81.99	15.69	3954.82	57.08	25.5	13.97	5973.06	93.9	29872.16	768.85	2411.94	89.12	478.21	75.18	274.21	52.23	208.57	42.72	177.76	41.21	354.49	31.97	<LOD	12.57	<LOD	12.45	<LOD	6.32	<LOD	3.32	<LOD	21.24	499451.38	1484.81	13.04	1.29	2.51	1	19.82	8.29	<LOD	1.5	<LOD	1.5	<LOD	1.5	86355.68	2029.54	913.85	249.98	326886.69	2601.52	867.26	47.39	<LOD	4486.93	<LOD	0	163212.23	0	699537.56	0	2092.73	0	36145.31	0	8362.28	0	6604.54	0	619.57	0	58149.76	0				
45	45	10/10/2019 17:12	TestAll Geo	180.49	ppm	2	Final	-3mm 									14.31	1.88	376.37	4	85.98	1.82	19.13	3.84	80.53	1.62	45.97	3.04	50.59	4.06	6.43	3.32	<LOD	2.11	106.46	4.7	13.37	5.27	42.88	5.64	356.76	26.04	294.25	13.48	97.13	16.3	<LOD	63.65	40479.44	346.66	457.49	35.15	26.63	7.03	86.29	16.13	3962.48	58.41	24.27	14.2	5982.89	95.5	29998.46	785.04	<LOD	175.18	481	72.97	293.57	50.8	222.25	41.58	243.02	40.3	397.61	31.26	<LOD	19.64	<LOD	12.17	<LOD	10.28	<LOD	3.21	<LOD	20.44	497129.97	1480.9	11.9	1.28	2.48	1	<LOD	12.57	<LOD	1.5	<LOD	1.5	<LOD	1.5	87828.13	2046.45	1293.42	253.18	327103.28	2611.6	846.48	47.25	<LOD	4413.93	<LOD	0	165995.17	0	700001.06	0	2961.92	0	36298.14	0	8376.04	0	6617.35	0	590.16	0	57885.59	0				
46	46	10/10/2019 17:15	TestAll Geo	180.55	ppm	2	Final	-3mm 									14.23	1.88	378.17	4.01	87.13	1.83	21.14	3.86	78.86	1.61	41.27	2.94	51.92	4.09	6.66	3.33	<LOD	3.07	103.35	4.64	12.5	5.23	45.22	5.69	353.96	26.09	286.79	13.34	76.12	16.01	<LOD	63.87	40545.06	347.16	469.08	35.27	30.81	7.05	94.16	15.96	3898.64	57.47	<LOD	21.08	5993.8	94.96	29775.25	763.12	2385.67	87.79	428.84	75.02	254.3	52.26	199.17	42.77	206.44	41.51	361.99	32.14	<LOD	15.41	<LOD	12.57	<LOD	6.33	<LOD	3.3	<LOD	21.31	500015.91	1473.9	11.73	1.27	2.5	1	14.29	8.21	<LOD	1.5	<LOD	1.5	<LOD	1.5	86876.83	2009.48	1094.73	249.82	325240.13	2404.95	808.57	46.4	<LOD	4285.46	<LOD	0	164197.2	0	696013.88	0	2506.92	0	36028.05	0	8391.32	0	6510.72	0	605.11	0	57979.43	0				
47	47	10/10/2019 17:19	TestAll Geo	180.25	ppm	2	Final	-3mm 									14.71	1.89	377.66	4	103.01	2.18	20.4	3.86	80.55	1.63	42.18	2.97	49.57	4.04	8.63	3.41	3.29	1.82	103.25	4.65	8.67	5.18	47.63	5.75	358.55	26.41	292.03	13.43	85.68	16.19	<LOD	64.12	40636.32	347.27	454.5	35.1	32.4	7.18	94.81	16.28	3993.68	58.67	22.6	14.27	6058.64	96.26	30443.24	775.66	2403.56	85.32	476.91	75.98	314.38	53.08	171.88	42.73	203.66	41.77	377.79	32.44	<LOD	20.18	<LOD	12.5	<LOD	11.26	<LOD	3.14	<LOD	21.43	495581.13	1495.8	12.16	1.28	2.51	1	<LOD	12.37	<LOD	1.5	<LOD	1.5	<LOD	1.5	87840.51	1970.35	1204.43	243.49	326850.75	2354.07	870.04	45.73	<LOD	4254.14	<LOD	0	166018.56	0	699460.63	0	2758.15	0	36836.32	0	8482.09	0	6669.45	0	586.31	0	58109.93	0				
48	48	10/10/2019 17:22	TestAll Geo	180.09	ppm	2	Final	-3mm 									13.47	1.87	379.04	4	87.08	1.83	21.66	3.91	82.76	1.64	44.21	3.01	51.64	4.08	7.95	3.37	<LOD	2.69	103.33	4.67	10.14	5.19	48.36	5.76	332.69	25.93	302.69	13.56	88.63	16.16	<LOD	63.8	40654.62	349.03	432.02	34.59	29.12	7.1	92.32	16.24	3965.28	58.48	30.51	14.36	6102.07	95.89	29792.36	784.3	2379.54	88.78	497.39	73.69	280.13	51.12	170.19	41.35	196.36	40.39	351.93	31.26	<LOD	14.03	<LOD	12.27	<LOD	6.06	<LOD	3.18	<LOD	20.72	492522.66	1498.16	12.34	1.28	2.37	1	20.27	8.21	<LOD	1.5	<LOD	1.5	<LOD	1.5	87869.79	2099.9	1199.61	253.47	326857.25	2530.62	847.88	47.31	<LOD	4967.74	7803.16	0	166073.91	0	699474.56	0	2747.1	0	36048.75	0	8542.9	0	6622.02	0	557.31	0	58136.1	0				
49	49	10/10/2019 17:26	TestAll Geo	181.08	ppm	2	Final	-3mm 									14.36	1.9	375.34	4.03	85.03	1.83	22.01	3.92	80.12	1.64	44	3.04	53.11	4.17	8.01	3.43	3.09	1.84	101.11	4.71	<LOD	8	47.49	5.85	330.46	26.22	296.98	13.63	106.35	16.58	<LOD	64.44	40703.21	353.35	449.78	35.21	31.33	7.03	79.51	15.94	3916.75	57.84	<LOD	21.02	6051.62	95.1	29941.18	772.39	2437.94	87.28	439.75	76.9	276.56	53.67	183.7	43.58	191.74	42.4	383.76	33.03	<LOD	12.98	<LOD	12.89	<LOD	7.81	<LOD	3.49	<LOD	21.83	497731.25	1504.28	12.41	1.29	2.42	1	25.2	8.26	<LOD	1.5	<LOD	1.5	<LOD	1.5	88128.33	1998.63	1419.09	246.5	326045.03	2595.65	829.74	45.8	<LOD	4306.76	<LOD	0	166562.53	0	697736.38	0	3249.72	0	36228.83	0	8472.27	0	6540.97	0	580.22	0	58205.58	0				
50	50	10/10/2019 17:26	TestAll Geo	5.29	ppm	2	Final	-3mm 									<LOD	19.53	381.2	28.6	111.74	16.1	<LOD	43.26	82.53	12.33	35.63	20.09	45.73	26.59	<LOD	36.31	<LOD	18.83	109.21	33.6	<LOD	57.01	<LOD	59.94	334.4	195.79	259.15	96.56	<LOD	168.43	<LOD	452.41	40057.37	2511.46	396.86	244.75	<LOD	59537	<LOD	40630.33	<LOD	66650.38																			<LOD	87.94	<LOD	90.3	<LOD	81.51	<LOD	81.81	<LOD	78.39	958616.69	1143.89	<LOD	14.43	2.05	1.1	<LOD	134.59	<LOD	1.5	<LOD	1.5	<LOD	1.5											<LOD	0	<LOD	0	<LOD	0	<LOD	0	<LOD	0	<LOD	0	<LOD	0	511.95	0	57282.03	0				
51	51	01/10/2019 17:38	TestAll Geo	180.53	ppm	2	Final	-3mm 	RCRA-180-637								<LOD	2.47	304.23	3.52	71.5	1.82	8.56	2.76	30.7	1.06	8.94	2.62	511.63	11.57	31.08	8.31	456.6	7.3	420.88	10.76	<LOD	6.33	34.81	4.58	<LOD	16.14	43.14	8.75	70.47	15.13	<LOD	40.88	18545.06	296.9	151.4	27.41	439.95	9.74	91.69	13.64	2882.31	46.8	<LOD	16.55	5325.52	70.82	12620.33	578.05	1156.06	57.59	311.64	66.15	180.83	46.24	145.67	37.54	149.59	36.68	708.99	30.7	<LOD	12.4	<LOD	13.36	432.26	10.11	<LOD	4.52	<LOD	22.74	538293.31	1373.45	9.57	1.2	1.81	1	<LOD	10.44	<LOD	1.5	<LOD	1.5	<LOD	1.5	61674.75	1497.61	448.44	225.55	348626.03	2483.05	933.05	41.36	5312.33	2420.82	8818.46	0	116565.28	0	746059.75	0	1026.93	0	15270.59	0	7455.73	0	4813.46	0	195.3	0	26519.44	0				
52	52	01/10/2019 17:42	TestAll Geo	181.2	ppm	2	Final	-3mm 	RCRA-180-637								<LOD	2.48	302.34	3.55	70.97	1.83	9.22	2.81	30.82	1.07	11.12	2.96	513.41	11.71	29.66	8.37	453.81	7.36	423.88	10.89	<LOD	6.4	33.38	4.58	<LOD	16.06	38.13	8.7	54.13	15.04	<LOD	41.36	18759.38	299.96	140.98	27.53	432.62	9.69	103.04	13.54	2859.2	46.18	<LOD	16.58	5376.56	71.14	12653.48	580.72	1166.71	55.93	291.34	66.44	175.22	46.52	129.39	37.62	147.2	36.93	707.22	30.89	<LOD	17.44	<LOD	13.46	425.98	10.09	7.27	3.13	<LOD	22.9	540624.94	1379.77	9.44	1.21	1.83	1	<LOD	10.62	<LOD	1.5	<LOD	1.5	<LOD	1.5	60628.97	1435.02	654.4	219.05	347648.09	2468.75	959.87	40.19	4535.6	2298.9	7529.1	0	114588.76	0	743966.94	0	1498.57	0	15310.71	0	7527.18	0	4774.86	0	181.86	0	26825.91	0				
